date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:08	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:08%20GMT	http://www.playshrigoagems.com/images/jquery-ui-images/ui-icons_222222_256x240.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/jquery-ui-images/ui-icons_222222_256x240.16.delayed	(from http://www.playshrigoagems.com/css/jquery-ui.css)
15:26:08	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:08%20GMT	http://www.playshrigoagems.com/images/jquery-ui-images/ui-icons_888888_256x240.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/jquery-ui-images/ui-icons_888888_256x240.17.delayed	(from http://www.playshrigoagems.com/css/jquery-ui.css)
15:26:08	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:08%20GMT	http://www.playshrigoagems.com/images/jquery-ui-images/ui-icons_454545_256x240.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/jquery-ui-images/ui-icons_454545_256x240.18.delayed	(from http://www.playshrigoagems.com/css/jquery-ui.css)
15:26:08	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:08%20GMT	http://www.playshrigoagems.com/images/jquery-ui-images/ui-icons_2e83ff_256x240.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/jquery-ui-images/ui-icons_2e83ff_256x240.19.delayed	(from http://www.playshrigoagems.com/css/jquery-ui.css)
15:26:09	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:09%20GMT	http://www.playshrigoagems.com/images/jquery-ui-images/ui-icons_cd0a0a_256x240.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/jquery-ui-images/ui-icons_cd0a0a_256x240.1a.delayed	(from http://www.playshrigoagems.com/css/jquery-ui.css)
15:26:09	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:09%20GMT	http://www.playshrigoagems.com/images/jquery-ui-images/ui-bg_flat_0_aaaaaa_40x100.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/jquery-ui-images/ui-bg_flat_0_aaaaaa_40x100.1b.delayed	(from http://www.playshrigoagems.com/css/jquery-ui.css)
15:26:09	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:09%20GMT	http://www.playshrigoagems.com/images/jquery.wysiwyg.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/jquery.wysiwyg.1c.delayed	(from http://www.playshrigoagems.com/css/jquery.wysiwyg.css)
15:26:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:10%20GMT	http://www.playshrigoagems.com/images/admin_nav_bg.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/admin_nav_bg.1d.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:10%20GMT	http://www.playshrigoagems.com/images/admin_nav_bg_over.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/admin_nav_bg_over.1e.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:10%20GMT	http://www.playshrigoagems.com/images/admin_footer_bg.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/admin_footer_bg.1f.delayed	(from http://www.playshrigoagems.com/css/admin.css)
